sku;attribute_set_code;product_type;product_websites;name;meta_title;meta_description;description;short_description;categories;image;small_image;thumbnail;ed_brand;ed_type;ed_model;ed_essentials;price;length;width;height;diameter;weight;qty;min_sale_qty;ed_fmat;ed_fheig;ed_color;discount_percentage;config_size
1017766;Default;Simple;base;Storagepot transparent 10 led battery operated - h13xd11cm;Storagepot transparent 10 led battery operated - h13xd11cm;Storagepot transparent 10 led battery operated - h13xd11cm;Storagepot transparent 10 led battery operated - h13xd11cm;Storagepot transparent 10 led battery operated - h13xd11cm;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/101776601.jpg;/101776601.jpg;/101776601.jpg;Christmas House;to be determined;Christmas gift;No;0;NULL;NULL;13;11;0;110;24;glass;12,5 - 15 cm;transparent;0;H13.D11.
372664;Default;Simple;base;Candle cream set of 3 amber light battery operated-h10xd5cm;Candle cream set of 3 amber light battery operated-h10xd5cm;Candle cream set of 3 amber light battery operated-h10xd5cm;Candle cream set of 3 amber light battery operated - h10xd5cm;Candle cream set of 3 amber light battery operated - h10xd5cm;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/37266401.jpg;/37266401.jpg;/37266401.jpg;Mica Decorations;candle;Candle and tealights;No;0;NULL;NULL;10;5;0;111;12;wax.;10 - 12,5 cm;cream;0;H10.D5.
372667;Default;Simple;base;Candle cream set of 2 amber light BO - h28xd2,5cm;Candle cream set of 2 amber light BO - h28xd2,5cm;Candle cream set of 2 amber light BO - h28xd2,5cm;Candle cream set of 2 amber light battery operated - h28xd2,5cm;Candle cream set of 2 amber light battery operated - h28xd2,5cm;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/37266701.jpg;/37266701.jpg;/37266701.jpg;Mica Decorations;candle;Candle and tealights;No;0;NULL;NULL;28;2.5;0;112;48;wax.;25 - 35 cm;cream;0;H28.D2.5.
1015597;Default;Simple;base;Tree gold 10led battery operated - h33xd7,5cm;Tree gold 10led battery operated - h33xd7,5cm;Tree gold 10led battery operated - h33xd7,5cm;Tree gold 10led battery operated - h33xd7,5cm;Tree gold 10led battery operated - h33xd7,5cm;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/101559701.jpg;/101559701.jpg;/101559701.jpg;Christmas House;to be determined;Christmas tree;No;0;NULL;NULL;33;7.5;0;113;6;glass;25 - 35 cm;gold;0;H33.D7.5.
372977;Default;Simple;base;LED CANDLE B/O H13D10 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;LED CANDLE B/O H13D10 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;LED CANDLE B/O H13D10 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;LED CANDLE B/O H13D10 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;LED CANDLE B/O H13D10 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/37297701.jpg;/37297701.jpg;/37297701.jpg;Mica Decorations;candle;Candle and tealights;No;0;NULL;NULL;13;10;0;114;12;wax.;12,5 - 15 cm;off white;0;H13.D10.
372656;Default;Simple;base;Candle white amber light battery operated - h10xd7,5cm;Candle white amber light battery operated - h10xd7,5cm;Candle white amber light battery operated - h10xd7,5cm;Candle white amber light battery operated - h10xd7,5cm;Candle white amber light battery operated - h10xd7,5cm;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/37265601.jpg;/37265601.jpg;/37265601.jpg;Mica Decorations;candle;Candle and tealights;No;0;NULL;NULL;10;7.5;0;115;24;wax.;10 - 12,5 cm;white;0;H10.D7.5.
1015596;Default;Simple;base;Tree gold 6led battery operated - h24xd6,5cm;Tree gold 6led battery operated - h24xd6,5cm;Tree gold 6led battery operated - h24xd6,5cm;Tree gold 6led battery operated - h24xd6,5cm;Tree gold 6led battery operated - h24xd6,5cm;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/101559601.jpg;/101559601.jpg;/101559601.jpg;Christmas House;to be determined;Christmas tree;No;0;NULL;NULL;24;6.5;0;116;6;glass;20 - 25 cm;gold;0;H24.D6.5.
372661;Default;Simple;base;S3 CANDLE B/O H15D7.5 RED AMBER LIGHT REMOTE;S3 CANDLE B/O H15D7.5 RED AMBER LIGHT REMOTE;S3 CANDLE B/O H15D7.5 RED AMBER LIGHT REMOTE;S3 CANDLE B/O H15D7.5 RED AMBER LIGHT REMOTE;S3 CANDLE B/O H15D7.5 RED AMBER LIGHT REMOTE;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/37266101.jpg;/37266101.jpg;/37266101.jpg;Mica Decorations;candle;Candle and tealights;No;0;NULL;NULL;15;7.5;0;117;8;wax.;15 - 20 cm;red;0;H15.D7.5.
372652;Default;Simple;base;Candle white amber light battery operated - h10xd7,5cm;Candle white amber light battery operated - h10xd7,5cm;Candle white amber light battery operated - h10xd7,5cm;Candle white amber light battery operated - h10xd7,5cm;Candle white amber light battery operated - h10xd7,5cm;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/37265201.jpg;/37265201.jpg;/37265201.jpg;Mica Decorations;candle;Candle and tealights;No;0;NULL;NULL;10;7.5;0;118;24;wax.;10 - 12,5 cm;white;0;H10.D7.5.
188374;Default;Simple;base;A2 SANTA SNOWMAN BALL B/O H25D13.5 RED;A2 SANTA SNOWMAN BALL B/O H25D13.5 RED;A2 SANTA SNOWMAN BALL B/O H25D13.5 RED;A2 SANTA SNOWMAN BALL B/O H25D13.5 RED;A2 SANTA SNOWMAN BALL B/O H25D13.5 RED;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/18837401.jpg;/18837401.jpg;/18837401.jpg;Christmas House;to be determined;Miscellaneous;No;0;NULL;NULL;25;13.5;0;119;4;ceramic;25 - 35 cm;red;0;H25.D13.5.
372975;Default;Simple;base;LED CANDLE B/O H17.5D8 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;LED CANDLE B/O H17.5D8 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;LED CANDLE B/O H17.5D8 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;LED CANDLE B/O H17.5D8 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;LED CANDLE B/O H17.5D8 OFF WHITE BATTERY 2XAA BT01 NOT INCL.;Shop/Christmas lighting/Decorations lighting/Decorations lighting battery operated;/37297501.jpg;/37297501.jpg;/37297501.jpg;Mica Decorations;candle;Candle and tealights;No;0;NULL;NULL;17.5;8;0;120;12;wax.;15 - 20 cm;off white;0;H17.5.D8.
